lat,lon,category
25.05984574,121.6158936,manufacture
25.05988999,121.52544,manufacture
25.06021001,121.54451,pharma
25.06021001,121.52256,manufacture
25.06045974,121.535515,manufacture
25.06045974,121.535515,pharma
25.06045974,121.535515,manufacture
25.06045974,121.535515,manufacture
25.06045974,121.535515,finance
25.06045974,121.535515,manufacture
25.06045974,121.535515,manufacture
25.06047999,121.64906,manufacture
25.06075999,121.57446,manufacture
25.06087,121.54444,manufacture
25.06090001,121.64577,manufacture
25.06090001,121.64577,health
25.06098001,121.53296,manufacture
25.06099045,121.5219697,pharma
25.06106002,121.64904,health
25.06106002,121.64904,manufacture
25.06111999,121.47094,manufacture
25.06124999,121.53737,manufacture
25.06154001,121.54355,manufacture
25.06165999,121.64883,pharma
25.06165999,121.64883,health
25.06170999,121.54685,manufacture
25.06172001,121.64798,health
25.06172001,121.64798,health
25.06181632,121.5818526,manufacture
25.06216001,121.54831,pharma
25.06233,121.59748,manufacture
25.06235543,121.5814629,health
25.06238,121.5298,manufacture
25.06242922,121.5814095,health
25.06244001,121.54477,manufacture
25.06246,121.5741,finance
25.06254001,121.57957,manufacture
25.06262001,121.50919,manufacture
25.06264,121.52029,manufacture
25.06290999,121.52472,manufacture
25.0632,121.52231,manufacture
25.06380002,121.51807,manufacture
25.06405001,121.58035,pharma
25.06425,121.45066,manufacture
25.06456998,121.45533,manufacture
25.06477999,121.57906,manufacture
25.06484,121.51388,manufacture
25.06485002,121.58395,health
25.06488527,121.513715,manufacture
25.06488527,121.513715,manufacture
25.06488527,121.513715,manufacture
25.06488527,121.513715,manufacture
25.06490999,121.66023,manufacture
25.06500999,121.45682,manufacture
25.06500999,121.54381,manufacture
25.06510998,121.44918,pharma
25.06541001,121.57715,pharma
25.06543,121.44942,manufacture
25.06546001,121.45579,manufacture
25.06597998,121.66187,manufacture
25.06615001,121.44916,manufacture
25.06627,121.52443,finance
25.06643001,121.44854,manufacture
25.06654999,121.62008,health
25.06674999,121.45059,manufacture
25.06677999,121.52485,health
25.06679001,121.44598,manufacture
25.06687002,121.66418,manufacture
25.06691,121.44797,manufacture
25.06749113,121.6178925,health
25.06769999,121.57666,manufacture
25.06769999,121.57666,manufacture
25.06786438,121.6157514,manufacture
